time,cluster,in_out
1413125765.0,61,in
1413125823.0,61,out
1413126765.0,4,in
1413126876.0,4,out
1413126876.0,1,in
1413345685.0,1,out
1413345685.0,0,in
1413644503.0,0,out
1413645281.0,4,in
1413645292.0,4,out
1413645292.0,1,in
1413692442.0,1,out
1413694041.0,0,in
1414501496.0,0,out
1414502362.0,4,in
1414502461.0,4,out
1414502461.0,1,in
1414544064.0,1,out
1414544064.0,0,in
1414673261.0,0,out
1414673818.0,61,in
1414673953.0,61,out
1414674790.0,4,in
1414674821.0,4,out
1414674821.0,1,in
1414723006.0,1,out
1414723006.0,4,in
1414723130.0,4,out
1414724200.0,61,in
1414724998.0,61,out
1414726499.0,0,in
1414762134.0,0,out
1414762839.0,61,in
1414763542.0,61,out
1414764464.0,1,in
1414922495.0,1,out
1414922495.0,0,in
1414924168.0,0,out
1414926883.0,1,in
1414932943.0,1,out
1414932943.0,7,in
1415010158.0,7,out
1415010158.0,0,in
1415315874.0,0,out
